REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.1.7.1.12.1,25325,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.1.7.1.13.1,25670,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.1.7.1.14.1,24165,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.1.7.1.15.1,20965,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.1.7.1.16.1,17165,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.1.7.1.17.1,64070,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.1.7.1.18.1,29665,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.1.7.1.19.1,16570,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.1.7.1.20.1,17840,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.1.7.1.21.1,75000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.1.8.1.1.1,150365,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.1.8.1.2.1,450,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.1.8.1.3.1,210,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.1.8.1.4.1,665,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.1.8.1.5.1,685,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.1.8.1.6.1,1160,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.1.8.1.7.1,1740,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.1.8.1.8.1,5750,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.1.8.1.9.1,7660,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.1.8.1.10.1,7475,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.1.8.1.11.1,7640,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.1.8.1.12.1,18355,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.1.8.1.13.1,18565,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.1.8.1.14.1,16895,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.1.8.1.15.1,14180,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.1.8.1.16.1,11125,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.1.8.1.17.1,37815,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.1.8.1.18.1,17925,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.1.8.1.19.1,9240,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.1.8.1.20.1,10650,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.1.8.1.21.1,72500,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.1.9.1.1.1,76495,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.1.9.1.2.1,555,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.1.9.1.3.1,310,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.1.9.1.4.1,420,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.1.9.1.5.1,900,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.1.9.1.6.1,1225,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.1.9.1.7.1,1570,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.1.9.1.8.1,2010,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.1.9.1.9.1,2550,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.1.9.1.10.1,3140,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.1.9.1.11.1,3395,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.1.9.1.12.1,6975,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.1.9.1.13.1,7105,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.1.9.1.14.1,7270,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.1.9.1.15.1,6780,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.1.9.1.16.1,6045,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.1.9.1.17.1,26260,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.1.9.1.18.1,11740,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.1.9.1.19.1,7325,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.1.9.1.20.1,7190,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.1.9.1.21.1,81000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.2.7.1.1.1,134025,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.2.7.1.2.1,620,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.2.7.1.3.1,400,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.2.7.1.4.1,845,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.2.7.1.5.1,1280,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.2.7.1.6.1,1825,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.2.7.1.7.1,2385,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.2.7.1.8.1,6575,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.2.7.1.9.1,8620,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.2.7.1.10.1,8530,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.2.7.1.11.1,8365,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.2.7.1.12.1,18625,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.2.7.1.13.1,17500,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.2.7.1.14.1,15160,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.2.7.1.15.1,12000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.2.7.1.16.1,8675,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.2.7.1.17.1,22625,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.2.7.1.18.1,12385,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.2.7.1.19.1,5325,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.2.7.1.20.1,4920,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.2.7.1.21.1,65000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.2.8.1.1.1,123665,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.2.8.1.2.1,420,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.2.8.1.3.1,205,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.2.8.1.4.1,645,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.2.8.1.5.1,660,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.2.8.1.6.1,1100,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.2.8.1.7.1,1650,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.2.8.1.8.1,5605,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.2.8.1.9.1,7450,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.2.8.1.10.1,7130,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.2.8.1.11.1,7260,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.2.8.1.12.1,17225,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.2.8.1.13.1,16785,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.2.8.1.14.1,14725,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.2.8.1.15.1,11775,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.2.8.1.16.1,8580,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.2.8.1.17.1,22470,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.2.8.1.18.1,12285,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.2.8.1.19.1,5290,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.2.8.1.20.1,4895,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.2.8.1.21.1,67500,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.2.9.1.1.1,10365,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.2.9.1.2.1,200,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.2.9.1.3.1,195,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.2.9.1.4.1,205,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.2.9.1.5.1,615,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.2.9.1.6.1,725,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.2.9.1.7.1,735,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.2.9.1.8.1,970,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.2.9.1.9.1,1175,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.2.9.1.10.1,1405,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.2.9.1.11.1,1105,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.2.9.1.12.1,1400,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.2.9.1.13.1,720,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.2.9.1.14.1,440,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.2.9.1.15.1,230,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.2.9.1.16.1,95,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.2.9.1.17.1,160,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.2.9.1.18.1,95,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.2.9.1.19.1,30,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.2.9.1.20.1,25,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.2.9.1.21.1,41200,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.3.7.1.1.1,46020,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.3.7.1.2.1,170,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.3.7.1.3.1,70,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.3.7.1.4.1,150,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.3.7.1.5.1,220,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.3.7.1.6.1,400,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.3.7.1.7.1,680,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.3.7.1.8.1,785,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.3.7.1.9.1,1050,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.3.7.1.10.1,1405,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.3.7.1.11.1,1735,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.3.7.1.12.1,4060,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.3.7.1.13.1,4620,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.3.7.1.14.1,4965,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.3.7.1.15.1,4740,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.3.7.1.16.1,4295,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.3.7.1.17.1,16675,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.3.7.1.18.1,8035,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.3.7.1.19.1,4460,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.3.7.1.20.1,4185,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.3.7.1.21.1,86000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.3.8.1.1.1,20460,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.3.8.1.2.1,20,,,,0
