REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.2.8.1.21.1,76000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.2.9.1.1.1,409285,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.2.9.1.2.1,12300,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.2.9.1.3.1,6985,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.2.9.1.4.1,9995,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.2.9.1.5.1,15090,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.2.9.1.6.1,25910,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.2.9.1.7.1,28650,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.2.9.1.8.1,33685,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.2.9.1.9.1,37200,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.2.9.1.10.1,39510,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.2.9.1.11.1,36250,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.2.9.1.12.1,57795,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.2.9.1.13.1,37515,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.2.9.1.14.1,23970,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.2.9.1.15.1,16365,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.2.9.1.16.1,10145,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.2.9.1.17.1,17910,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.2.9.1.18.1,10475,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.2.9.1.19.1,3620,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.2.9.1.20.1,3815,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.2.9.1.21.1,44400,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.3.7.1.1.1,2147825,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.3.7.1.2.1,13935,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.3.7.1.3.1,5855,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.3.7.1.4.1,8015,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.3.7.1.5.1,11960,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.3.7.1.6.1,16580,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.3.7.1.7.1,23960,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.3.7.1.8.1,34170,,,,0
